"","middle","lower","upper","agecut5","agecut5_numeric","type","middle_log","lower_log","upper_log","agecut5_log"
"1",0.846522128578768,0.483113172562683,1.32745393120456,"30",30,"incidence",-0.16661893648805,-0.727504341052289,0.283262770107722,3.40119738166216
"2",1.91420975677702,1.4150822039981,2.51255322046379,"35",35,"incidence",0.649304877818723,0.347187624106077,0.921299455434997,3.55534806148941
"3",3.87941988566679,3.16988470313194,4.65429700978545,"40",40,"incidence",1.35568562845344,1.15369521597598,1.53779088101859,3.68887945411394
"4",7.05094716083799,6.10928470696149,8.12032388116834,"45",45,"incidence",1.95316195685519,1.80980969709329,2.09437004022152,3.80666248977032
"5",13.0735400368675,11.786201319637,14.4472865590442,"50",50,"incidence",2.57059034305624,2.46692946752191,2.67050661554428,3.91202300542815
"6",25.9085797938282,24.0812241594839,27.9777411499142,"55",55,"incidence",3.25457418001994,3.18143245633633,3.33140923509616,4.00733318523247
"7",48.4997359090218,45.7751732795634,51.2014789692973,"60",60,"incidence",3.88155835275381,3.82374187601629,3.93576841774735,4.0943445622221
"8",87.9635202043334,84.0044403653389,92.0522579488578,"65",65,"incidence",4.47692218539887,4.43086965893832,4.52235643696931,4.17438726989564
"9",143.838077891529,137.837914028436,149.686594697152,"70",70,"incidence",4.96868820781095,4.92607845882336,5.00854373963473,4.24849524204936
"10",229.796309195034,221.437426173382,238.08742122361,"75",75,"incidence",5.43719330434153,5.40014004922855,5.47263792229303,4.31748811353631
"11",296.259316462995,285.068936376855,307.672038185065,"80",80,"incidence",5.69123513993122,5.65273103304396,5.72903440457204,4.38202663467388
"12",306.827383311987,292.072767248244,321.920779865736,"85",85,"incidence",5.72628532011245,5.67700297412734,5.77430549001354,4.44265125649032
"13",231.39024596519,209.872218776117,256.325059535972,"90",90,"incidence",5.44410566160317,5.34649886349866,5.54644640282365,4.49980967033027
"14",155.523739992803,120.6379554383,195.816113548869,"95",95,"incidence",5.04679838873061,4.79279395648921,5.27717602266978,4.55387689160054
"15",95.9402276767414,39.0982574067961,187.744625219369,"100+",100,"incidence",4.56372536918702,3.66607789839703,5.23508266290755,4.60517018598809
